平均长度：	16.854175356636357	
最大长度：	300	
最小长度：	2	
长度分布：	
2	33	
3	350	
4	521	
5	636	
6	715	
7	873	
8	880	
9	752	
10	626	
11	628	
12	511	
13	425	
14	388	
15	375	
16	310	
17	275	
18	274	
19	223	
20	221	
21	221	
22	167	
23	183	
24	177	
25	138	
26	135	
27	127	
28	119	
29	108	
30	107	
31	81	
32	70	
33	78	
34	73	
35	72	
36	64	
37	49	
38	43	
39	56	
40	51	
41	43	
42	42	
43	42	
44	39	
45	34	
46	46	
47	21	
48	41	
49	23	
50	27	
51	26	
52	24	
53	26	
54	22	
55	19	
56	15	
57	17	
58	12	
59	17	
60	11	
61	12	
62	12	
63	9	
64	11	
65	19	
66	8	
67	12	
68	10	
69	12	
70	9	
71	8	
72	7	
73	6	
74	6	
75	4	
76	7	
76	6	
77	4	
78	5	
79	2	
80	1	
81	4	
82	7	
83	4	
84	5	
85	2	
86	3	
87	3	
88	2	
89	4	
90	5	
91	3	
92	4	
93	6	
94	0	
95	3	
96	3	
97	1	
98	2	
99	1	
100	2	
101	1	
102	4	
103	2	
104	0	
105	3	
106	2	
107	2	
108	4	
109	1	
110	3	
111	2	
112	3	
113	1	
114	1	
115	1	
116	0	
117	2	
118	1	
119	0	
120	1	
121	1	
122	0	
123	0	
124	2	
125	4	
126	2	
127	2	
128	2	
129	1	
130	0	
131	1	
132	1	
133	3	
134	0	
135	2	
136	0	
137	1	
138	1	
139	1	
140	0	
141	0	
142	0	
143	1	
144	0	
145	0	
146	0	
147	0	
148	0	
149	1	
150	0	
151	0	
152	0	
153	0	
154	0	
155	0	
156	0	
157	0	
158	0	
159	1	
160	1	
161	0	
162	0	
163	2	
164	0	
165	0	
166	0	
167	0	
168	0	
169	0	
170	0	
171	0	
172	0	
173	0	
174	0	
175	0	
176	1	
177	1	
178	0	
179	0	
180	1	
181	0	
182	0	
183	0	
184	0	
185	0	
186	0	
187	0	
188	0	
189	0	
190	0	
191	0	
192	0	
193	0	
194	0	
195	0	
196	0	
197	0	
198	0	
199	0	
200	1	
201	0	
202	0	
203	0	
204	0	
205	0	
206	0	
207	0	
208	1	
209	0	
210	0	
211	0	
212	0	
213	0	
214	0	
215	0	
216	0	
217	0	
218	0	
219	0	
220	0	
221	0	
222	0	
223	0	
224	0	
225	0	
226	0	
226	0	
227	0	
228	0	
229	0	
230	0	
231	0	
232	0	
233	0	
234	0	
235	0	
236	0	
237	0	
238	0	
239	0	
240	0	
241	0	
242	0	
243	0	
244	0	
245	0	
246	0	
247	0	
248	0	
249	0	
250	0	
251	0	
252	0	
253	0	
254	0	
255	0	
256	0	
257	0	
258	0	
259	0	
260	0	
261	0	
262	0	
263	0	
264	0	
265	0	
266	0	
267	0	
268	0	
269	0	
270	0	
271	0	
272	0	
273	0	
274	0	
275	0	
276	0	
277	0	
278	1	
279	0	
280	0	
281	0	
282	0	
283	0	
284	0	
285	0	
286	0	
287	0	
288	0	
289	0	
290	0	
291	0	
292	0	
293	0	
294	0	
295	0	
296	0	
297	0	
298	0	
299	1	
